City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
431,Komsomolskiy,UZ,78.55,scattered clouds,40.4272,71.7189,Ikathouse
432,Yichun,CN,61.61,overcast clouds,47.7,128.9,锦江酒店
434,Pimentel,PE,70.09,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
435,Los Llanos De Aridane,ES,74.12,few clouds,28.6585,-17.9182,Valle Aridane
436,Kisangani,CD,74.68,broken clouds,0.5167,25.2,Grand Ramela Hotel
437,Nancha,CN,64.42,overcast clouds,47.1333,129.2667,Communications Hotel
438,Tabuk,PH,73.65,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
440,Seredka,RU,69.55,scattered clouds,58.1584,28.1858,Lesnoy Oazis
442,Tekirdag,TR,72.75,clear sky,40.978,27.5085,Tekirdağ Yat Hotel
446,Tanete,ID,70.65,few clouds,-3.9443,119.7848,Wisma Tri Multi
447,Malpe,IN,74.5,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
448,Bayan,CN,64.24,few clouds,46.0833,127.4,Wanhao Inn
449,Ratnagiri,IN,77.68,light rain,16.9833,73.3,Hotel Landmark
453,Chimbote,PE,66.06,overcast clouds,-9.0853,-78.5783,Hotel Briliá
455,Mayumba,GA,68.77,overcast clouds,-3.432,10.6554,LIKWALE LODGE
459,Valparaiso,CL,66.43,clear sky,-33.0393,-71.6273,Hotel Ultramar
461,Biasca,CH,78.55,overcast clouds,46.3597,8.9697,Al Giardinetto
466,Aklavik,CA,71.6,scattered clouds,68.2191,-135.0107,Aklavik Inn
468,Pozo Colorado,PY,71.46,broken clouds,-23.4923,-58.7972,Hospedaje La Norteña
471,Wiwili,NI,78.31,overcast clouds,13.6268,-85.8254,Hostal Gladys
473,Hongjiang,CN,75.22,broken clouds,27.11,109.9956,洪江大酒店
476,Manono,CD,77.31,clear sky,-7.3,27.4167,Hotel hewa bora
480,Kondopoga,RU,67.69,clear sky,62.2057,34.2614,Karelia Hotel
482,Soyo,AO,68.18,few clouds,-6.1349,12.3689,Hospedaria ndozi'ame
483,Slave Lake,CA,60.78,scattered clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
486,Laukaa,RU,71.11,overcast clouds,58.7372,29.8453,U Lysoy Gory Hotel
487,Saint-Joseph,RE,66.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
488,Tam Ky,VN,76.12,overcast clouds,15.5667,108.4833,Nhà Nghỉ Phương Hòa
490,Karratha,AU,62.89,clear sky,-20.7377,116.8463,ibis Styles Karratha
493,Lagoa,PT,75.74,light rain,39.05,-27.9833,Casa Das Faias
494,Kinsale,IE,60.24,broken clouds,51.7075,-8.5306,Actons Hotel Kinsale
499,Chamba,IN,74.16,overcast clouds,32.5667,76.1333,NotOnMap - Rafi's House
500,Grand Gaube,MU,70.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
501,Olinda,BR,78.53,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
502,Agnibilekrou,CI,71.8,broken clouds,7.1344,-3.2047,"J'AIME ATTOBRO, (Mon Village)"
503,Leua,SK,77.0,clear sky,48.2156,18.6071,Business Hotel ASTRUM Laus
504,Souillac,MU,70.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
507,Paramonga,PE,65.08,overcast clouds,-10.6667,-77.8333,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
